carrier,component,item,sector
AC,generators,offwind-ac,
AC,generators,onwind,
AC,generators,ror,
AC,generators,solar,
AC,generators,offwind,
AC,generators,offwind-dc,
AC,lines,AC0,
AC,lines,AC1,
low voltage,loads,agriculture electricity,agriculture
oil,loads,agriculture machinery oil,agriculture
AC,links,links,
AC,links,electricity distribution grid0,
services rural heat,loads,agriculture heat,agriculture
AC,links,H2 Fuel Cell1,
AC,links,Haber-Bosch0,Ammonia production
AC,links,battery discharger1,
AC,links,CCGT1,
AC,links,OCGT1,
AC,links,urban central gas CHP CC1,
AC,links,urban central gas CHP1,
AC,links,solid biomass1,
AC,links,urban central solid biomass CHP CC1,
AC,links,urban central solid biomass CHP1,
AC,links,residential rural ground heat pump0,
AC,links,residential urban decentral air heat pump0,
AC,links,services rural ground heat pump0,
AC,links,services urban decentral air heat pump0,
AC,links,urban central air heat pump0,
AC,links,residential rural resistive heater0,
AC,links,residential urban decentral resistive heater0,
AC,links,services rural resistive heater0,
AC,links,services urban decentral resistive heater0,
AC,links,urban central resistive heater0,
AC,links,DC0,
AC,links,DC1,
AC,links,coal1,
AC,links,lignite1,
AC,links,oil1,
AC,links,nuclear (SMR)1,
AC,links,nuclear1,
oil,loads,kerosene for aviation,aviation
AC,storage_units,hydro,
AC,storage_units,PHS,
H2,links,H2 Electrolysis1,
gas,links,residential rural gas boiler0,buildings
gas,links,residential rural micro gas CHP0,buildings
gas,links,residential urban decentral gas boiler0,buildings
H2,links,H2 pipeline retrofitted0,
H2,links,H2 pipeline retrofitted1,
H2,links,H2 pipeline0,
H2,links,H2 pipeline1,
gas,links,residential urban decentral micro gas CHP0,buildings
gas,links,services rural gas boiler0,buildings
H2,links,SMR CC1,
H2,links,SMR1,
H2,links,ammonia cracker1,
gas,links,services rural micro gas CHP0,buildings
gas,links,services urban decentral gas boiler0,buildings
H2,stores,H2 Store,
Li ion,links,V2G0,
Li ion,links,BEV charger1,
Li ion,loads,land transport EV,
Li ion,stores,battery storage,
NH3,links,Haber-Bosch1,
NH3,links,ammonia cracker0,
NH3,loads,NH3,
NH3,stores,ammonia store,
battery,links,battery charger1,
battery,links,battery discharger0,
battery,stores,battery,
biogas,links,biogas to gas0,
biogas,stores,biogas,
co2,links,biogas to gas2,
co2,links,CCGT2,
co2,links,OCGT2,
co2,links,SMR CC2,
co2,links,SMR2,
co2,links,gas for industry CC2,
co2,links,gas for industry2,
co2,links,residential rural gas boiler2,
co2,links,residential rural micro gas CHP3,
co2,links,residential urban decentral gas boiler2,
co2,links,residential urban decentral micro gas CHP3,
co2,links,services rural gas boiler2,
co2,links,services rural micro gas CHP3,
